63546,,40.64106,,-73.97426,,39,,45,,365
63573,,40.66793,,-73.98327,,60,,9,,0
63588,,40.81309,,-73.85514,,90,,0,,349
63610,,40.88057,,-73.83572,,105,,38,,365
63657,,40.68236,,-73.94314,,135,,248,,11
63693,,40.72185,,-73.98246,,390,,143,,316
63719,,40.68503,,-73.95385,,70,,36,,281
63913,,40.86648,,-73.9263,,75,,0,,323
64000,,40.7069,,-73.95467,,60,,14,,362
64015,,40.72807,,-73.98594,,200,,0,,0
64107,,40.6778,,-73.94339,,100,,279,,301
64277,,40.68317,,-73.94701,,70,,18,,189
64314,,40.6761,,-73.9529,,110,,50,,0
64365,,40.67586,,-73.95155,,60,,227,,287
64707,,40.71702,,-73.99811,,90,,1,,14
64837,,40.72321,,-73.98157,,68,,203,,86
65019,,40.77956,,-73.98098,,115,,210,,261
65268,,40.68276,,-73.95264,,75,,64,,68
65556,,40.71368,,-73.9626,,60,,0,,0
65562,,40.72956,,-73.98158,,129,,5,,231
65615,,40.71069,,-73.95175,,130,,49,,152
65660,,40.70863,,-73.94641,,95,,132,,46
65813,,40.82888,,-73.94307,,75,,20,,364
65834,,40.67319,,-73.97323,,175,,11,,246
66008,,40.67846,,-73.99443,,190,,51,,288
66026,,40.6715,,-73.94808,,49,,15,,331
66251,,40.72681,,-73.98534,,212,,67,,51
66275,,40.71904,,-73.99392,,95,,109,,364
66451,,40.71031,,-73.9583,,140,,9,,254
66718,,40.81322,,-73.95306,,135,,187,,189
66741,,40.67732,,-73.98225,,150,,214,,263
66974,,40.68076,,-73.9896,,190,,69,,258
67288,,40.79603,,-73.94903,,124,,22,,103
67299,,40.71492,,-73.96282,,135,,56,,42
67397,,40.80393,,-73.95838,,122,,93,,246
68099,,40.80082,,-73.9652,,109,,104,,364
68305,,40.82976,,-73.94867,,85,,64,,318
68403,,40.683,,-73.91981,,145,,127,,72
68735,,40.78971,,-73.9729,,195,,30,,249
68765,,40.67817,,-73.99495,,250,,106,,272
68900,,40.73119,,-73.95578,,125,,6,,325
68974,,40.71943,,-73.99627,,575,,191,,298
69894,,40.78,,-73.98249,,150,,48,,35
69921,,40.70514,,-73.91922,,70,,47,,203
70095,,40.86713,,-73.92811,,90,,120,,132
70128,,40.73198,,-73.98881,,65,,52,,5
70609,,40.72542,,-73.97986,,500,,48,,297
71010,,40.83494,,-73.93869,,250,,32,,276
71248,,40.71659,,-73.98945,,125,,43,,102
71366,,40.72966,,-74.00243,,200,,39,,251
71384,,40.72898,,-73.95552,,229,,50,,188
71812,,40.87207,,-73.90193,,90,,4,,346
72190,,40.77728,,-73.97818,,110,,38,,0
72265,,40.72646,,-73.95341,,59,,29,,15
74073,,40.71015,,-73.96101,,195,,59,,71
74240,,40.71903,,-73.9597,,169,,68,,215
74333,,40.80892,,-73.93985,,113,,26,,253
74404,,40.80276,,-73.9567,,250,,31,,78
74680,,40.77635,,-73.93426,,115,,198,,257
74860,,40.72488,,-73.95018,,55,,1,,0
75193,,40.71398,,-73.95763,,69,,220,,8
75635,,40.71876,,-73.98394,,150,,286,,191
76761,,40.66552,,-73.99019,,169,,398,,182
77765,,40.73749,,-73.95292,,179,,36,,79
77936,,40.76248,,-73.9913,,150,,36,,49
78919,,40.68674,,-73.98876,,135,,6,,0
79067,,40.6848,,-73.96219,,350,,14,,156
79782,,40.70516,,-73.95455,,120,,76,,343
80493,,40.72329,,-73.98486,,71,,182,,200
80684,,40.73776,,-73.95327,,349,,8,,60
80700,,40.73738,,-73.95482,,349,,7,,60
80924,,40.67542,,-73.98142,,165,,34,,189
81739,,40.73842,,-73.95312,,249,,2,,60
82549,,40.6926,,-73.99832,,100,,66,,0
82550,,40.69441,,-73.99771,,200,,80,,106
82638,,40.72399,,-73.98374,,169,,240,,276
82928,,40.6824,,-73.94615,,185,,46,,248
83243,,40.68949,,-73.91708,,65,,228,,194
83446,,40.68819,,-73.97258,,130,,5,,135
83722,,40.7205,,-73.96015,,199,,8,,30
83847,,40.72451,,-73.98094,,225,,33,,0
84010,,40.73813,,-73.95394,,179,,13,,81
84059,,40.67591,,-73.94715,,150,,5,,0
84659,,40.72843,,-73.98895,,139,,388,,142
84905,,40.71271,,-73.99776,,95,,223,,60
85094,,40.66966,,-73.94735,,79,,11,,179
86215,,40.71965,,-73.98766,,150,,151,,52
